product,qtyordered,qtycompleted,datecompleted,ross_product_code
IMG5H-44-4224,550.0,550,2024-04-11,
IMG5H-44-3024,700.0,700,2024-04-15,
IMG5H-44-3624_Unflip,500.0,500,2024-04-16,
IMG5H-44-3624_Unflip,300.0,300,2024-04-16,
IMG5H-44-5024,400.0,400,2024-04-17,
IMG5H-44-5024,800.0,801,2024-04-17,
IMG5H-44-3618_Unflip,150.0,150,2024-04-18,
IMG5H-44-3624,400.0,400,2024-04-22,
IMG5H-44-4224,600.0,600,2024-04-22,
IMG5H-44-4524,1200.0,1200,2024-04-23,
IMG5H-44-4524,1200.0,1225,2024-04-29,
IMG5H-44-4524,1200.0,1200,2024-04-30,
IMG5H-44-4224,950.0,950,2024-05-01,
IMG5H-44-4024,1100.0,1100,2024-05-02,
IMG5H-44-4517,850.0,850,2024-05-07,
IMG5H-44-5024,800.0,800,2024-05-08,
IMB5-44-5024,1000.0,1002,2024-05-13,
IMB5-44-4524,400.0,341,2024-05-14,
IMG5H-44-3624_Unflip,300.0,300,2024-05-14,
IMG5H-44-4224,800.0,800,2024-05-15,
IMG5H-44-4224,500.0,500,2024-05-16,
IMG5H-44-3524,750.0,750,2024-05-16,
IMG5H-44-4524,1100.0,1100,2024-05-20,
IMG5H-44-4524,150.0,150,2024-05-21,
IMG5H-44-4518,1100.0,1100,2024-05-22,
IMG5H-44-4518,700.0,705,2024-05-23,
IMG5H-44-4518,1000.0,1000,2024-05-23,
IMG5H-44-4524,1100.0,1100,2024-05-27,
IMG5H-44-4524,1100.0,1100,2024-05-29,
IMG5H-44-4524,1100.0,1100,2024-05-30,
IMG5H-44-3624_Unflip,500.0,500,2024-05-30,
IMG5H-44-5024,800.0,800,2024-06-05,
IMG5H-44-4224,600.0,600,2024-06-05,
IMG5H-44-4224,450.0,450,2024-06-06,
IMG5H-44-3024,700.0,700,2024-06-10,
IMG5H-44-3024,500.0,500,2024-06-11,
IMG5H-44-4024,1200.0,1200,2024-06-14,
IMG5H-44-3624_Unflip,500.0,500,2024-06-17,
IMG5H-44-5024,800.0,800,2024-06-18,
IMG5H-44-4524,1100.0,1100,2024-06-19,
IMG5H-44-4524,1100.0,1100,2024-06-20,
IMG5H-44-5024,400.0,400,2024-06-24,
IMG5H-44-3624,600.0,600,2024-06-25,
IMG5H-44-4524,1100.0,1100,2024-06-26,
IMG5H-44-3624_Unflip,550.0,550,2024-06-27,
IMG5H-44-5024,800.0,800,2024-07-01,
IMG5H-44-4524,1100.0,1100,2024-07-03,
IMG5H-44-4224,550.0,550,2024-07-03,
IMG5H-44-4524,750.0,750,2024-07-04,
IMG5H-44-4517,1050.0,1050,2024-07-05,
IMG5H-44-4224,1000.0,1000,2024-07-08,
IMG5H-44-4224,100.0,100,2024-07-08,
IMG5H-44-2424,250.0,250,2024-07-09,
IMG5H-44-4224,550.0,550,2024-07-09,
IMG5H-44-4517,450.0,450,2024-07-10,
IMG5H-44-4224,550.0,550,2024-07-10,
IMG5H-44-3024,700.0,700,2024-07-11,
IMG5H-44-3624,600.0,600,2024-07-12,
IMG5H-44-4524,1100.0,1060,2024-07-15,
IMG5H-44-5024,800.0,800,2024-07-16,
IMG5H-44-4024,1100.0,1100,2024-07-18,
