product,qtyordered,qtycompl,datecompleted,ross_product_code
D500RL1018 C2,210.0,210.0,2024-09-02,
IMG4-22-3024-OC,1700.0,1537.0,2024-09-11,
RL918 C2,80.0,80.0,2024-09-12,
D500RL1218 C2,100.0,102.0,2024-09-12,
BDBOT-8723-280 C2,89.0,89.0,2024-09-17,
BDTOP-8723-280 C2,240.0,240.0,2024-09-19,
BDTOP-8723-280 C2,100.0,100.0,2024-09-24,
BDBOT-8723-280 C2,240.0,238.0,2024-10-01,
D500RL1218 C2,100.0,100.0,2024-10-03,
D500SL81 C2,150.0,150.0,2024-10-08,
IMG5H-44-4824,200.0,200.0,2024-10-09,
IMG5H-44-4528,1000.0,1000.0,2024-10-17,
BDTOP-8724-230 C2,310.0,308.0,2024-10-23,
BDBOT-8724-230 C2,230.0,230.0,2024-11-01,
D500SL81 C2,140.0,140.0,2024-11-05,
IMG5H-44-4524-SM,1000.0,1020.0,2024-11-14,
IMG5H-44-4524-SM,100.0,100.0,2024-11-15,
IMG5H-44-5024-SM,1300.0,1352.0,2024-11-21,
BDTOP-8724-230 C2,160.0,160.0,2024-11-25,
BDBOT-8724-230 C2,210.0,210.0,2024-12-02,
BDBOT-8724-230 C2,160.0,155.0,2024-12-04,
IMB5-44-4517,325.0,325.0,2024-12-09,
IMB5-44-4524,50.0,50.0,2024-12-09,
BDTOP-8724-230 C2,310.0,310.0,2024-12-12,
BDTOP-8724-230 C2,20.0,20.0,2025-01-02,
BDBOT-8724-230 C2,85.0,85.0,2025-01-13,
BDBOT-8724-230 C2,100.0,100.0,2025-01-15,
SL 41,400.0,383.0,2025-01-20,
IMG5-44-4524-MS,12.0,12.0,2025-01-20,
D500SL81 C2,200.0,200.0,2025-01-22,
D500RL1018 C2,200.0,200.0,2025-01-23,
D500RL1218 C2,150.0,150.0,2025-01-24,
BDBOT-8723-280 C2,270.0,270.0,2025-01-31,
BDTOP-8723-280 C2,240.0,240.0,2025-02-04,
IMG5H-44-3024-SM,570.0,600.0,2025-02-07,
IMG5H-44-4528,1000.0,1006.0,2025-02-13,
BDTOP-8724-230 C2,180.0,180.0,2025-02-18,
BDTOP-8723-280 C2,130.0,130.0,2025-02-19,
BDBOT-8723-280 C2,125.0,130.0,2025-02-21,
IMG5H-44-5024-SM,900.0,920.0,2025-02-27,
IMG5H-44-5024-SM,450.0,450.0,2025-03-05,
BDBOT-8723-280 C2,240.0,240.0,2025-03-11,
BDTOP-8723-280 C2,240.0,240.0,2025-03-17,
BDTOP-8723-280 C2,80.0,80.0,2025-03-18,
RL918 C2,60.0,60.0,2025-03-20,
BDBOT-8724-230 C2,180.0,180.0,2025-03-26,
BDBOT-8724-230 C2,80.0,80.0,2025-03-27,
BDTOP-8724-230 C2,120.0,120.0,2025-04-01,
IMG5H-44-5024-SM,1000.0,936.0,2025-04-08,
IMG5H-44-4528,1000.0,993.0,2025-04-24,
BDTOP-8724-230 C2,200.0,200.0,2025-04-29,
BDBOT-8724-230 C2,200.0,200.0,2025-05-05,
BDBOT-8724-230 C2,40.0,40.0,2025-05-05,
IMG5H-44-5024-SM,1300.0,1300.0,2025-05-12,
IMG5H-44-5024-SM,800.0,800.0,2025-05-15,
IMG5H-44-5024-SM,400.0,400.0,2025-05-16,
D500RL1218 C2,60.0,60.0,2025-05-19,
D500RL1218 C2,60.0,60.0,2025-05-19,
D500RL1018 C2,100.0,100.0,2025-05-20,
D500SL81 C2,120.0,120.0,2025-05-20,
BDTOP-8724-230 C2,240.0,230.0,2025-05-23,
BDBOT-8724-230 C2,160.0,160.0,2025-05-27,
BDBOT-8724-230 C2,80.0,80.0,2025-05-28,
IMG4-22-3024-OC,1700.0,1700.0,2025-06-04,SMF30240505004G
BDTOP-8724-230 C2,250.0,250.0,2025-06-10,BDTOP8724.230
BDBOT-8724-230 C2,240.0,240.0,2025-06-13,BDBOT8724.230
IMG5H-44-5024-SM,1700.0,1703.0,2025-06-27,MS50241010056G
BDBOT-8724-230 C2,240.0,246.0,2025-07-02,BDBOT8724.230
BDTOP-8724-230 C2,320.0,320.0,2025-07-09,BDTOP8724.230
IMG5H-44-4528,950.0,951.0,2025-07-16,SMF45281010056G
BDTOP-8724-230 C2,240.0,240.0,2025-07-23,BDTOP8724.230
BDBOT-8724-230 C2,240.0,240.0,2025-07-29,BDBOT8724.230
IMG5H-44-5024-SM,1350.0,1350.0,2025-08-13,
IMG5H-44-4528,950.0,974.0,2025-08-21,
IMG5H-44-3024-SM,1300.0,170.0,,
BDTOP-8724-230 C2,240.0,0.0,,
,,0.0,,
,,0.0,,
,,0.0,,
,,0.0,,
,,0.0,,
,,0.0,,
,,0.0,,
,,0.0,,
,,0.0,,
,,,,
,,,,
